도로명,색상,도로 길이,시작지점,종착지점,경유 행정구역,좌표데이터
"충선로","#7777aa","784m","효빈광역시 서구 사복1동(사복동)","효빈광역시 서구 당선2동(당선동)","효빈광역시 서구 사복1동(사복동) | 효빈광역시 서구 당선2동(당선동) | 효빈광역시 서구 사복2동(사복동)","[-25610,18439]; [-26394,18437]"
"고송남북로","#7777aa","3051m","효빈광역시 북구 고송2동(고송동)","효빈광역시 서구 사복2동(사복동)","효빈광역시 북구 고송2동(고송동) | 효빈광역시 북구 고송4동(고송동) | 효빈광역시 서구 사복2동(사복동) | 효빈광역시 북구 고송6동(고송동) | 효빈광역시 서구 과진2동(과진동)","[-23007,17343]; [-24496,17313]; [-26058,17325]"
"복지대학로","#7777aa","2069m","효빈광역시 북구 고송8동(고송동)","효빈광역시 서구 과진2동(과진동)","효빈광역시 북구 고송8동(고송동) | 효빈광역시 서구 과진2동(과진동) | 효빈광역시 서구 사복1동(사복동)","[-25261,18845]; [-25269,16776]"
"소흥로","#7777aa","1874m","효빈광역시 서구 사복1동(사복동)","효빈광역시 북구 고송6동(고송동)","효빈광역시 서구 사복1동(사복동) | 효빈광역시 북구 고송6동(고송동) | 효빈광역시 북구 고송5동(고송동)","[-25290,17871]; [-23416,17882]"
"아소로","#7777aa","1047m","효빈광역시 북구 고송6동(고송동)","효빈광역시 북구 고송5동(고송동)","효빈광역시 북구 고송6동(고송동) | 효빈광역시 북구 고송5동(고송동)","[-23553,18314]; [-24600,18304]"
"청고로","#7777aa","11488m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 북구 포산동","효빈광역시 서구 청덕1동(청덕동) | 효빈광역시 서구 청덕2동(청덕동) | 효빈광역시 서구 청덕3동(청덕동) | 효빈광역시 북구 고송4동(고송동) | 효빈광역시 북구 고송5동(고송동) | 효빈광역시 북구 고송7동(고송동) | 효빈광역시 북구 진희동 | 효빈광역시 북구 포산동 | 효빈광역시 북구 고송6동(고송동)","[-25462,13061]; [-24964,13898]; [-24819,14122]; [-24598,14313]; [-24250,14706]; [-24264,16522]; [-24253,17994]; [-24251,20204]; [-24268,21482]; [-24264,22693]; [-24253,24136]"
"구창로","#7777aa","4830m","효빈광역시 북구 고송7동(고송동)","효빈광역시 서구 청덕3동(청덕동)","효빈광역시 북구 고송7동(고송동) | 효빈광역시 북구 고송6동(고송동) | 효빈광역시 북구 고송3동(고송동) | 효빈광역시 서구 청덕3동(청덕동) | 효빈광역시 북구 고송4동(고송동)","[-23930,19541]; [-23951,19045]; [-23949,17746]; [-23957,16158]; [-23940,14712]"
"이달로","#7777aa","2645m","효빈광역시 서구 청덕3동(청덕동)","효빈광역시 북구 고송2동(고송동)","효빈광역시 서구 청덕3동(청덕동) | 효빈광역시 북구 고송3동(고송동) | 효빈광역시 북구 고송1동(고송동) | 효빈광역시 북구 고송2동(고송동)","[-23419,14936]; [-23421,15279]; [-23300,15647]; [-23219,15714]; [-22898,15742]; [-22932,17229]"
"시서로","#7777aa","1872m","효빈광역시 북구 고송1동(고송동)","효빈광역시 북구 고송1동(고송동)","효빈광역시 북구 고송1동(고송동)","[-22540,16677]; [-22525,15768]; [-22520,15714]; [-22938,15722]; [-23182,15296]"
"토천로","#7777aa","1317m","효빈광역시 북구 고송1동(고송동)","효빈광역시 북구 고송3동(고송동)","효빈광역시 북구 고송1동(고송동) | 효빈광역시 북구 고송3동(고송동)","[-22284,16369]; [-23601,16365]"
"실능로","#7777aa","1956m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 서구 과진6동(과진동)","효빈광역시 서구 청덕1동(청덕동) | 효빈광역시 서구 과진6동(과진동) | 효빈광역시 서구 청덕2동(청덕동)","[-25289,13342]; [-25314,14585]; [-25300,15298]"
"통성로","#7777aa","2215m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 서구 과진7동(과진동)","효빈광역시 서구 청덕1동(청덕동) | 효빈광역시 서구 청덕2동(청덕동) | 효빈광역시 서구 과진7동(과진동)","[-25125,13576]; [-25163,13893]; [-25138,14856]; [-25146,15298]; [-25149,15788]"
"청덕로","#7777aa","1993m","효빈광역시 서구 청덕2동(청덕동)","효빈광역시 서구 과진6동(과진동)","효빈광역시 서구 청덕2동(청덕동) | 효빈광역시 서구 과진6동(과진동)","[-24416,15283]; [-25225,15293]; [-26409,15288]"
"호한로","#7777aa","1270m","효빈광역시 서구 청덕2동(청덕동)","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 서구 청덕2동(청덕동) | 효빈광역시 서구 청덕1동(청덕동)","[-24835,14110]; [-26105,14098]"
"화한로","#7777aa","1612m","효빈광역시 서구 청덕1동(청덕동)","효빈광역시 서구 과진6동(과진동)","효빈광역시 서구 청덕1동(청덕동) | 효빈광역시 서구 과진6동(과진동)","[-25628,13692]; [-25788,14290]; [-26050,15248]"
"강천로","#7777aa","1210m","효빈광역시 서구 청덕2동(청덕동)","효빈광역시 서구 청덕2동(청덕동)","효빈광역시 서구 청덕2동(청덕동)","[-24884,14094]; [-24876,15304]"
"당선해안로","#7777aa","1880m","효빈광역시 서구 당선3동(당선동)","효빈광역시 서구 당선4동(당선동)","효빈광역시 서구 당선3동(당선동) | 효빈광역시 서구 당선4동(당선동)","[-26416,15512]; [-26576,15930]; [-26872,16020]; [-26952,15954]; [-27100,15862]; [-27148,15806]; [-27482,16078]; [-27740,16300]"
"무창로","#7777aa","532m","효빈광역시 서구 당선3동(당선동)","효빈광역시 서구 당선3동(당선동)","효빈광역시 서구 당선3동(당선동)","[-26748,16008]; [-26750,16540]"
"소장로","#7777aa","810m","효빈광역시 중구 중앙동(소장동1가)","효빈광역시 중구 조유동(조유동4가)","효빈광역시 중구 중앙동(소장동1가) | 효빈광역시 중구 중앙동(중앙로6가) | 효빈광역시 중구 조유동(조유동4가)","[-29154,16700]; [-29302,17118]; [-29372,17478]"
"조유로","#7777aa","1307m","효빈광역시 중구 조유동(조유동5가)","효빈광역시 중구 중앙동(중앙로5가)","효빈광역시 중구 조유동(조유동5가) | 효빈광역시 중구 조유동(조유동4가) | 효빈광역시 중구 중앙동(중앙로6가) | 효빈광역시 중구 중앙동(중앙로5가)","[-29032,17966]; [-29310,17278]; [-29322,17104]; [-29690,16972]"
"운중로","#7777aa","2366m","효빈광역시 중구 중앙동(중앙로1가)","효빈광역시 청엽구 입빈동(효빈동1가)","효빈광역시 중구 중앙동(중앙로1가) | 효빈광역시 중구 중앙동(지유동1가) | 효빈광역시 중구 중앙동(지유동2가) | 효빈광역시 중구 중앙동(원동4가) | 효빈광역시 중구 약맥동(오주동) | 효빈광역시 청엽구 입빈동(효빈동1가) | 효빈광역시 중구 중앙동(중앙로3가) | 효빈광역시 중구 중앙동(원동1가)","[-29612,16260]; [-29930,16682]; [-30106,16838]; [-30216,16886]; [-31080,16896]; [-31698,16902]"
"중동로","#7777aa","567m","효빈광역시 중구 조유동(조유동3가)","효빈광역시 중구 중정동(중동3가)","효빈광역시 중구 조유동(조유동3가) | 효빈광역시 중구 중정동(중동1가) | 효빈광역시 중구 중정동(중동3가) | 효빈광역시 중구 중앙동(중앙로6가)","[-29452,17346]; [-29631,17428]; [-29999,17467]"
"심동로","#7777aa","3556m","효빈광역시 중구 중앙동(중앙로1가)","효빈광역시 중구 내항동","효빈광역시 중구 중앙동(중앙로1가) | 효빈광역시 중구 중앙동(심동2가) | 효빈광역시 중구 고도동(시남동) | 효빈광역시 중구 내항동 | 효빈광역시 중구 중앙동(심동1가) | 효빈광역시 중구 고도동","[-29725,16191]; [-29824,16128]; [-29944,15884]; [-30053,15134]; [-30042,13553]; [-30048,12725]"
"우이로","#7777aa","2430m","효빈광역시 중구 고도동(시남동)","효빈광역시 청엽구 월천동(입동1가)","효빈광역시 중구 고도동(시남동) | 효빈광역시 청엽구 월천동(입동1가) | 효빈광역시 중구 약맥동","[-30028,15116]; [-32458,15130]"
"상자로","#7777aa","2006m","효빈광역시 중구 약맥동(삼각동)","효빈광역시 청엽구 입빈동(입동1가)","효빈광역시 중구 약맥동(삼각동) | 효빈광역시 청엽구 입빈동(입동1가) | 효빈광역시 청엽구 입빈동(입동3가)","[-30560,15916]; [-30687,16070]; [-30810,16181]; [-32451,16183]"
"팔번로","#7777aa","4921m","효빈광역시 중구 내항동(명일동)","효빈광역시 청엽구 입빈동(효빈동2가)","효빈광역시 중구 내항동(명일동) | 효빈광역시 중구 약맥동 | 효빈광역시 입빈동(입동3가) | 효빈광역시 청엽구 입빈동(효빈동1가) | 효빈광역시 청엽구 입빈동(효빈동2가) | 효빈광역시 중구 고도동(십덕동) | 효빈광역시 남구 월천동 | 효빈광역시 청엽구 입빈동(입동3가)","[-31191,13417]; [-31198,15193]; [-31373,15829]; [-31365,16924]; [-31064,17988]; [-31061,18273]"
"악내로","#7777aa","8195m","효빈광역시 중구 약맥동","효빈광역시 청엽구 청엽2동(청엽동)","효빈광역시 중구 약맥동 | 효빈광역시 중구 약맥동(오주동) | 효빈광역시 중구 신덕동 | 효빈광역시 청엽구 청엽5동(청엽동) | 효빈광역시 청엽구(청엽동) | 효빈광역시 동구 덕현4동(덕현동) | 효빈광역시 청엽구 청엽2동(청엽동) | 효빈광역시 중구 약맥동(삼각동) | 효빈광역시 중구 중정동(오석동) | 효빈광역시 청엽구 비마리동(사노동)","[-30950,15102]; [-30797,15377]; [-30814,16450]; [-30824,18623]; [-30793,22450]; [-30758,22958]; [-30866,23104]; [-30981,23118]"
"덕청대로","#7777aa","7596m","효빈광역시 동구 사가당1동(사가당동)","효빈광역시 창전구 팔조동","효빈광역시 동구 사가당1동(사가당동) | 효빈광역시 동구 덕현1동(덕현동) | 효빈광역시 동구 덕현2동(덕현동) | 효빈광역시 동구 사가당3동(사가당동) | 효빈광역시 청엽구 청엽1동(청엽동) | 효빈광역시 청엽구 우전1동(우전동) | 효빈광역시 창전구 동곡동 | 효빈광역시 창전구 팔조동 | 효빈광역시 청엽구 청엽6동(청엽동) | 효빈광역시 청엽구 마잡2동(서증동) | 효빈광역시 창전구 동곡동(투자동)","[-29930,20979]; [-29660,21313]; [-29715,21452]; [-29752,21769]; [-30062,22142]; [-30281,22295]; [-32109,22298]; [-32917,22267]; [-33064,22204]; [-34065,21325]; [-35882,21328]"
"청엽중앙로","#7777aa","6495m","효빈광역시 동구 덕현5동(덕현동)","효빈광역시 창전구 팔조동","효빈광역시 동구 덕현5동(덕현동) | 효빈광역시 창전구 쌍엽1동(쌍엽동) | 효빈광역시 창전구 팔조동(쌍엽동) | 효빈광역시 창전구 팔조동 | 효빈광역시 청엽구 우전2동(우전동)","[-29748,23334]; [-34651,23320]; [-34829,22972]; [-36030,23007]"
"동곡로","#7777aa","3276m","효빈광역시 창전구 동곡동","효빈광역시 창전구 쌍엽1동(쌍엽동)","효빈광역시 창전구 동곡동 | 효빈광역시 창전구 쌍엽1동(쌍엽동) | 효빈광역시 창전구 동곡동(투자동)","[-34797,19698]; [-34812,19703]; [-34802,22963]"
"창전해안로","#7777aa","11333m","효빈광역시 창전구 쌍엽1동(쌍엽동)","효빈광역시 탄성군 탄성읍 미성리","효빈광역시 창전구 쌍엽1동(쌍엽동) | 효빈광역시 창전구 창전2동(창전동) | 효빈광역시 창전구 창전4동(창전동) | 효빈광역시 창전구 광정동(생덕동) | 효빈광역시 탄성군 탄성읍 고무리 | 효빈광역시 탄성군 탄성읍 무성리 | 효빈광역시 탄성군 탄성읍 명무리 | 효빈광역시 탄성군 탄성읍 미성리 | 효빈광역시 창전구 창전1동(창전동)","[-34649,23338]; [-34600,23604]; [-34649,24529]; [-35280,25312]; [-35772,26076]; [-35831,26238]; [-36082,26233]; [-36432,26534]; [-36476,26603]; [-37703,26657]; [-37683,29892]; [-37712,32684]"
"칠심로","#7777aa","10077m","효빈광역시 청엽구 마잡2동(헌이송동)","효빈광역시 창전구 광정동","효빈광역시 청엽구 마잡2동(헌이송동) | 효빈광역시 청엽구 마잡2동(마잡동) | 효빈광역시 창전구(쌍엽동) | 효빈광역시 창전구 쌍엽2동(쌍엽동) | 효빈광역시 창전구 칠심1동(칠심동) | 효빈광역시 창전구 광정동 | 효빈광역시 청엽구 마잡2동(서증동) | 효빈광역시 창전구 유류동 | 효빈광역시 창전구 광정동(보통동)","[-33512,17064]; [-33512,18999]; [-33463,22052]; [-33522,23170]; [-33551,25165]; [-33531,27139]"
"기계산업로","#7777aa","11996m","효빈광역시 남구 월천동(신흥동)","효빈광역시 남구 곽산2동(곽산동)","효빈광역시 남구 월천동(신흥동) | 효빈광역시 남구 월천동(포장동) | 효빈광역시 남구 고당동(고간동) | 효빈광역시 남구 평당6동(평당동) | 효빈광역시 남구 평당7동(평당동) | 효빈광역시 남구 곽산1동(곽산동) | 효빈광역시 남구 곽산2동(곽산동)","[-32172,14503]; [-34127,14508]; [-34103,11573]; [-34132,11494]; [-36314,11514]; [-37190,10061]; [-37978,8766]; [-38225,8194]; [-38195,7190]"
"효빈항로","#7777aa","12108m","효빈광역시 남구 항2동(항동2가)","효빈광역시 남구 월천동","효빈광역시 남구 항2동(항동2가) | 효빈광역시 남구 항3동(항동2가) | 효빈광역시 남구 항3동(항동3가) | 효빈광역시 남구 항4동(항동3가) | 효빈광역시 남구 항1동(항동1가) | 효빈광역시 남구 월천동","[-28370,1236]; [-28395,2280]; [-28774,2625]; [-28774,2832]; [-28878,2886]; [-28966,3787]; [-29336,5708]; [-29385,6604]; [-29405,6766]; [-29981,7628]; [-30143,8047]; [-30582,8909]; [-30710,9224]; [-30976,9381]; [-31286,9928]; [-31345,10376]; [-31448,11632]; [-31434,12494]"
"내항로","#7777aa","4615m","효빈광역시 중구 내항동","효빈광역시 중구 고도동(우이동)","효빈광역시 중구 내항동 | 효빈광역시 중구 고도동 | 효빈광역시 중구 고도동(시남동) | 효빈광역시 중구 중앙동(심동1가) | 효빈광역시 중구 고도동(우이동)","[-31202,12725]; [-30355,12725]; [-29981,12715]; [-29661,12838]; [-29429,13001]; [-29390,13222]; [-29365,13375]; [-29528,13690]; [-29863,14444]; [-29902,14818]; [-29966,15079]; [-30025,15306]; [-30330,15429]"
"약맥로","#7777aa","2566m","효빈광역시 중구 고도동(시남동)","효빈광역시 남구 월천동(신흥동)","효빈광역시 중구 고도동(시남동) | 효빈광역시 남구 월천동(신흥동) | 효빈광역시 중구 약맥동","[-29882,14877]; [-32448,14853]"
"입빈로","#7777aa","6979m","효빈광역시 남구 항1동(항동1가)","효빈광역시 청엽구 동리동","효빈광역시 남구 항1동(항동1가) | 효빈광역시 남구(항동1가) | 효빈광역시 청엽구 입빈동(입동1가) | 효빈광역시 청엽구 입빈동(효빈동1가) | 효빈광역시 청엽구 입빈동(효빈동2가) | 효빈광역시 청엽구 동리동 | 효빈광역시 남구 월천동(신흥동) | 효빈광역시 청엽구 입빈동(입동2가)","[-32113,11780]; [-32133,12513]; [-32167,16118]; [-32138,16941]; [-32133,17507]; [-32133,18758]"
"효빈성로","#7777aa","2925m","효빈광역시 중구 내조1동(내조동)","효빈광역시 청엽구 마잡1동(마잡동)","효빈광역시 중구 내조1동(내조동) | 효빈광역시 청엽구 마잡1동(마잡동) | 효빈광역시 청엽구 동리동","[-29528,18782]; [-32453,18743]"
"장원로","#7777aa","2135m","효빈광역시 중구 유내동(리사동)","효빈광역시 청엽구 등동","효빈광역시 중구 유내동(리사동) | 효빈광역시 청엽구 등동 | 효빈광역시 청엽구 입빈동(효빈동2가)","[-30320,18280]; [-32455,18261]"
"도람로","#7777aa","1211m","효빈광역시 중구 중정동(중동3가)","효빈광역시 중구 궁영동(궁정동)","효빈광역시 중구 중정동(중동3가) | 효빈광역시 중구 중정동(중동2가) | 효빈광역시 중구 궁영동(도람동) | 효빈광역시 중구 궁영동(궁정동) | 효빈광역시 중구 유내동","[-29969,17476]; [-30066,17957]; [-30161,18334]; [-30183,18516]; [-30183,18578]; [-30252,18630]"
"내서로","#7777aa","1193m","효빈광역시 중구 조유동(조유동2가)","효빈광역시 중구 내조1동(내조동)","효빈광역시 중구 조유동(조유동2가) | 효빈광역시 중구 조유동(천석동3가) | 효빈광역시 중구 내조1동(내조동) | 효빈광역시 중구 조유동(서남동)","[-29352,17957]; [-29261,18734]; [-29196,19140]"
"천석로","#7777aa","1142m","효빈광역시 중구 조유동(조유동2가)","효빈광역시 북구 사능1동(사능동1가)","효빈광역시 중구 조유동(조유동2가) | 효빈광역시 중구 조유동(천석동3가) | 효빈광역시 중구 조유동(천석동1가) | 효빈광역시 북구 사능1동(사능동1가) | 효빈광역시 중구 조유동(천석동2가) | 효빈광역시 중구 조유동(서남동)","[-29540,18116]; [-29371,18467]; [-29332,18497]; [-29014,18523]; [-28750,18529]; [-28630,18523]"
"보몽로","#7777aa","3638m","효빈광역시 북구 천왕사동","효빈광역시 동구 덕현2동(덕현동)","효빈광역시 북구 천왕사동 | 효빈광역시 북구 천왕사동(해서동) | 효빈광역시 동구 전천동 | 효빈광역시 동구 덕현1동(덕현동) | 효빈광역시 동구 덕현2동(덕현동)","[-26460,20029]; [-26623,20235]; [-28170,20810]; [-28595,21002]; [-28908,21084]; [-29101,21513]; [-29217,21611]; [-29530,21616]"
"전천로","#7777aa","4986m","효빈광역시 북구 사능2동(사능동2가)","효빈광역시 동구 덕현5동(덕현동)","효빈광역시 북구 사능2동(사능동2가) | 효빈광역시 북구 천왕사동(해서동) | 효빈광역시 동구 전천동 | 효빈광역시 동구 덕현5동(덕현동) | 효빈광역시 동구 덕현5동","[-27292,19373]; [-27570,19673]; [-27836,20072]; [-28201,20539]; [-28338,21637]; [-28531,22576]; [-28518,23159]; [-28603,23330]; [-28964,23348]; [-29268,23335]"
"천왕사로","#7777aa","5153m","효빈광역시 북구 소조동","효빈광역시 북구 중수4동(중수동)","효빈광역시 북구 소조동 | 효빈광역시 북구 중수4동(중수동) | 효빈광역시 북구 천왕사동","[-26970,19086]; [-26953,24239]"
"평안명로","#7777aa","4553m","효빈광역시 북구 천왕사동","효빈광역시 북구 중수4동(중수동)","효빈광역시 북구 천왕사동 | 효빈광역시 북구 산고동(사연동) | 효빈광역시 북구 중수4동(중수동) | 효빈광역시 북구 산고동(서도동)","[-26683,20021]; [-26683,23733]; [-26460,24544]"
"법원로","#7777aa","4340m","효빈광역시 북구 중수4동(중수동)","효빈광역시 북구 채산동(수포동)","효빈광역시 북구 중수4동(중수동) | 효빈광역시 북구 중수3동(중수동) | 효빈광역시 북구 채산동(실본동) | 효빈광역시 북구 채산동(신영동) | 효빈광역시 북구 채산동(수포동) | 효빈광역시 북구 남전동","[-26181,24595]; [-26516,25230]; [-26747,25705]; [-26837,26661]; [-26949,26919]; [-27180,27193]; [-27519,27695]; [-27630,28025]; [-28033,28385]"
"중수해안로","#7777aa","2435m","효빈광역시 북구 중수1동(중수동)","효빈광역시 북구 중수2동(중수동)","효빈광역시 북구 중수1동(중수동) | 효빈광역시 북구 중수2동(중수동)","[-24424,24496]; [-24411,24861]; [-24509,25350]; [-24659,25740]; [-24835,26880]"
"카스미로","#7777aa","797m","효빈광역시 북구 중수1동(중수동)","효빈광역시 북구 중수1동(중수동)","효빈광역시 북구 중수1동(중수동)","[-24412,24918]; [-25209,24918]"
"포산로","#7777aa","3197m","효빈광역시 북구 포산동","효빈광역시 북구 오내1동(오내동)","효빈광역시 북구 포산동 | 효빈광역시 북구 오내1동(오내동) | 효빈광역시 북구 산고동(사연동)","[-24312,24304]; [-25007,23789]; [-27339,23746]"
"오내로","#7777aa","5456m","효빈광역시 북구 중수4동(중수동)","효빈광역시 동구 덕현2동(덕현동)","효빈광역시 북구 중수4동(중수동) | 효빈광역시 북구 남전동 | 효빈광역시 북구 오내2동(오내동) | 효빈광역시 동구 전천동 | 효빈광역시 동구 덕현2동(덕현동) | 효빈광역시 북구 오내1동(오내동) | 효빈광역시 동구 덕현3동(덕현동)","[-26533,25320]; [-26773,25028]; [-27026,24767]; [-27107,24681]; [-27017,24244]; [-27690,23360]; [-28621,22872]; [-29101,22812]; [-29774,21838]; [-29954,21573]"
"우택로","#7777aa","9290m","효빈광역시 동구 사가당1동(사가당동)","효빈광역시 안천구 뇌전동(상가동)","효빈광역시 동구 사가당1동(사가당동) | 효빈광역시 동구 사가당2동(사가당동) | 효빈광역시 동구(사가당동) | 효빈광역시 동구 사가당4동(사가당동) | 효빈광역시 청엽구 우택동 | 효빈광역시 안천구 뇌전동(치장동) | 효빈광역시 안천구 뇌전동(상가동) | 효빈광역시 동구 사가당3동(사가당동) | 효빈광역시 동구 덕현6동(덕현동) | 효빈광역시 안천구 북택동(하구동) | 효빈광역시 안천구 뇌전동","[-30010,20664]; [-30177,20994]; [-30314,21260]; [-30181,22293]; [-30400,22807]; [-30456,22979]; [-30275,24822]; [-30160,25555]; [-30100,27330]; [-30108,29800]"
"도변이자로","#7777aa","30375m","효빈광역시 동구 전천동","효빈광역시 탄성군 고해읍 장심리","효빈광역시 동구 전천동 | 효빈광역시 동구 덕현9동(덕현동) | 효빈광역시 청엽구 청엽4동(청엽동) | 효빈광역시 청엽구 우택동 | 효빈광역시 창전구 진백동 | 효빈광역시 창전구 진백동(시로동) | 효빈광역시 탄성군 흑택면 명현리 | 효빈광역시 탄성군 도변읍 도변리 | 효빈광역시 탄성군 도변읍 잠재리 | 효빈광역시 탄성군 도변읍 앵내리 | 효빈광역시 안천구 이자3동(탄자동) | 효빈광역시 안천구 이자3동(이자동) | 효빈광역시 안천구 이자2동(이자동) | 효빈광역시 안천구 칠채동(서수동) | 효빈광역시 탄성군 소원면 소원리 | 효빈광역시 탄성군 고해읍 천가리 | 효빈광역시 탄성군 고해읍 장심리 | 효빈광역시 동구 덕현5동(덕현동) | 효빈광역시 동구 덕현6동(덕현동) | 효빈광역시 탄성군 흑택면 흑택리 | 효빈광역시 탄성군 흑택면 루비리 | 효빈광역시 안천구 성저동 | 효빈광역시 탄성군 고해읍 이와리","[-28925,23313]; [-29152,23545]; [-30700,24274]; [-31240,25285]; [-31900,26734]; [-32428,27497]; [-32753,27999]; [-33011,29530]; [-32951,32642]; [-32981,34623]; [-32646,35609]; [-32462,36162]; [-31986,36775]; [-31737,37671]; [-31660,37726]; [-29735,37748]; [-28904,38082]; [-28496,38091]; [-28166,38228]; [-27330,38884]; [-26962,39068]; [-26700,39128]; [-26036,39900]; [-25568,40560]; [-25427,41049]; [-25830,42275]; [-26430,43445]; [-26490,44067]; [-29598,44110]"
"도변대로","#7777aa","16734m","효빈광역시 청엽구 청엽2동(청엽동)","효빈광역시 탄성군 고해읍 전추리","효빈광역시 청엽구 청엽2동(청엽동) | 효빈광역시 탄성군 도변읍 요우리 | 효빈광역시 탄성군 도변읍 잠재리 | 효빈광역시 탄성군 고해읍 전추리 | 효빈광역시 창전구 진백동 | 효빈광역시 안천구 뇌전동(팔월동) | 효빈광역시 탄성군 도변읍 앵내리","[-31066,23306]; [-31078,28847]; [-31054,32818]; [-31127,35825]; [-31121,40039]"
"안천이자로","#7777aa","10137m","효빈광역시 안천구 악부동(일화동)","효빈광역시 안천구 이자3동(이자동)","효빈광역시 안천구 악부동(일화동) | 효빈광역시 안천구 악부동(무로동) | 효빈광역시 안천구 안천1동(안천동) | 효빈광역시 안천구 안천2동(안천동) | 효빈광역시 안천구 악부동(팔망성동) | 효빈광역시 안천구 이십기동(추자동) | 효빈광역시 안천구 이십기동 | 효빈광역시 안천구 이자3동(이자동) | 효빈광역시 안천구 악부동(초음동) | 효빈광역시 안천구 안천3동(안천동)","[-25527,31242]; [-27977,31239]; [-28341,31226]; [-28647,31603]; [-28838,31766]; [-29235,32698]; [-29430,33263]; [-29410,34530]; [-28897,35830]; [-28832,35957]; [-28864,37747]; [-28848,38124]"
"안당로","#7777aa","3135m","효빈광역시 안천구 뇌전동(세익동)","효빈광역시 안천구 안천2동(안천동)","효빈광역시 안천구 뇌전동(세익동) | 효빈광역시 안천구 당가1동(당가동) | 효빈광역시 안천구 안천6동(안천동) | 효빈광역시 안천구 안천2동(안천동)","[-28732,28623]; [-28708,30145]; [-28847,30799]; [-28908,31030]; [-28825,31730]"
"안천북로","#7777aa","9666m","효빈광역시 안천구 당가2동(당가동)","효빈광역시 안천구 이자4동(이자동)","효빈광역시 안천구 당가2동(당가동) | 효빈광역시 안천구 당가1동(당가동) | 효빈광역시 안천구 안천1동(안천동) | 효빈광역시 안천구 악부동(타천동) | 효빈광역시 안천구 이십기동(심회동) | 효빈광역시 안천구 이자1동(이자동) | 효빈광역시 안천구 이자4동(이자동) | 효빈광역시 안천구 악부동(제택동) | 효빈광역시 안천구 이십기동(리의동) | 효빈광역시 안천구 이자2동(이자동)","[-27743,29884]; [-28029,30300]; [-28276,30411]; [-28341,31327]; [-28273,31785]; [-28292,33994]; [-28331,34358]; [-28380,35021]; [-28361,36818]; [-28364,37487]; [-28390,38355]; [-28338,38852]; [-28331,39287]"
"안천로","#7777aa","877m","효빈광역시 안천구 당가1동(당가동)","효빈광역시 안천구 안천6동(안천동)","효빈광역시 안천구 당가1동(당가동) | 효빈광역시 안천구 안천6동(안천동)","[-28283,30411]; [-29160,30414]"
"안천중앙로","#7777aa","4181m","효빈광역시 안천구 악부동(초음동)","효빈광역시 탄성군 도변읍 요우리","효빈광역시 안천구 악부동(초음동) | 효빈광역시 탄성군 도변읍 요우리 | 효빈광역시 안천구 안천4동(안천동)","[-27711,31870]; [-31892,31886]"
"하가로","#7777aa","1223m","효빈광역시 안천구 뇌전동(하가동)","효빈광역시 안천구 안천6동(안천동)","효빈광역시 안천구 뇌전동(하가동) | 효빈광역시 안천구 안천6동(안천동) | 효빈광역시 안천구 안천5동(안천동)","[-29264,29878]; [-29163,30479]; [-29176,30680]; [-28906,30992]"
"당가로","#7777aa","8831m","효빈광역시 동구 전천동","효빈광역시 안천구 안천4동(안천동)","효빈광역시 동구 전천동 | 효빈광역시 안천구 북택동 | 효빈광역시 안천구 뇌전동 | 효빈광역시 안천구 당가1동(당가동) | 효빈광역시 안천구 안천6동(안천동) | 효빈광역시 안천구 안천5동(안천동) | 효빈광역시 안천구 안천4동(안천동) | 효빈광역시 동구 덕현9동(덕현동) | 효빈광역시 안천구 뇌전동(세익동)","[-28942,23354]; [-28949,25674]; [-28945,27812]; [-28945,29404]; [-28945,30398]; [-28919,30531]; [-28900,31028]; [-29176,31048]; [-29400,31896]"
"포성산로","#7777aa","15536m","효빈광역시 안천구 뇌전동(하가동)","효빈광역시 탄성군 야진읍 아득리","효빈광역시 안천구 뇌전동(하가동) | 효빈광역시 안천구 안천5동(안천동) | 효빈광역시 안천구 백합동(상점동) | 효빈광역시 탄성군 도변읍 요우리 | 효빈광역시 탄성군 도변읍 도변리 | 효빈광역시 탄성군 도변읍 조일리 | 효빈광역시 탄성군 야진읍 신리 | 효빈광역시 탄성군 야진읍 미우리 | 효빈광역시 탄성군 야진읍 원심리 | 효빈광역시 탄성군 야진읍 아득리 | 효빈광역시 안천구 안천7동(안천동) | 효빈광역시 안천구 백합동","[-29186,30261]; [-29456,30843]; [-30170,32168]; [-30352,32565]; [-30537,32617]; [-32250,32925]; [-32425,32990]; [-32942,33523]; [-33319,33949]; [-33647,34443]; [-33910,34664]; [-34241,34924]; [-34248,34905]; [-34519,35038]; [-35021,35077]; [-35973,35796]; [-36318,36087]; [-36677,36175]; [-37573,36136]; [-38691,37116]; [-39552,37584]; [-40098,37692]; [-40694,37574]; [-41452,37328]"
"악부로","#7777aa","3528m","효빈광역시 안천구 악부동(타천동)","효빈광역시 안천구 백합동(상점동)","효빈광역시 안천구 악부동(타천동) | 효빈광역시 안천구 백합동(상점동) | 효빈광역시 안천구 악부동(팔망성동)","[-27717,33218]; [-30589,33215]; [-31041,32740]"
